# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336386219.830812931 0 0 0 0 0 0 1 2033 548 502
1336386219.930049896 -0.00252582 0.0014852 0.000749341 0.00013511 -0.00104926 0.000707842 0.999999 2039 524 482
1336386220.029286861 0.000570249 0.00250623 -0.00104813 0.000259574 -0.00280867 0.00121313 0.999995 2035 504 454
1336386220.128525019 -0.00375125 0.000584252 -2.66419e-06 2.75651e-05 -0.00289778 0.00178389 0.999994 2046 532 488
1336386220.227761030 0.000489492 -0.0019383 -0.00112079 -0.000173995 -0.00401724 0.00242796 0.999989 2056 539 485
1336386220.326997995 -0.00257682 -0.000264849 -0.000648817 0.000479176 -0.00344794 0.00306766 0.999989 2046 545 489
1336386220.426234961 0.00129026 0.00131017 -0.00264574 0.00121929 -0.00368002 0.00389358 0.999985 2026 541 496
1336386220.525471926 0.0028069 -0.00561029 -0.000936915 0.000539378 -0.00297401 0.00486857 0.999984 1996 522 478
1336386227.372819901 0.0183929 0.00136239 -0.0251368 0.00140372 -0.00211393 0.0131086 0.999911 2045 519 481
1336386227.472056866 0.0135286 -0.00300383 -0.0231361 0.00134704 -0.00132967 0.0129955 0.999914 2018 528 479
1336386227.571293831 0.016415 -0.000653535 -0.0247444 0.00250507 -0.00157823 0.0128615 0.999913 2051 550 493
1336386227.670531034 0.0180693 0.00241871 -0.0241152 0.0036919 -0.00122281 0.0126739 0.999912 2043 515 468
1336386227.769767046 0.0184552 0.000517266 -0.0235853 0.0039645 -0.000362061 0.0124232 0.999915 2032 541 492
1336386227.869004965 0.0172553 -0.00604032 -0.0223133 0.00341859 0.00102636 0.0120404 0.999921 2059 538 491
1336386227.968240976 0.0215634 -0.0079489 -0.021428 0.00344357 0.00179012 0.0115824 0.999925 2044 538 493
1336386228.067477942 0.0228927 -0.00910101 -0.0206327 0.00351972 0.0031908 0.0109414 0.999929 2025 501 452
1336386228.166715860 0.0231798 -0.00596754 -0.021968 0.00425728 0.00482842 0.0102138 0.999927 1976 524 476
1336386228.265951872 0.0250331 0.000203307 -0.0212163 0.00540902 0.00631039 0.00981385 0.999917 2079 513 465
1336386228.365188837 0.0263515 -0.000879974 -0.0209918 0.00505581 0.00788837 0.00939203 0.999912 2051 551 496
1336386228.464426994 0.0305414 0.000393402 -0.0216305 0.00497529 0.00897208 0.00908055 0.999906 2062 536 490
1336386228.563663006 0.0296433 -0.00192852 -0.0193232 0.00415395 0.0109441 0.00897943 0.999891 2091 534 489
1336386228.662899971 0.0315026 -0.00137709 -0.0197306 0.00370257 0.0122514 0.00892606 0.999878 2022 533 488
1336386228.762136936 0.0330192 0.00320848 -0.0190103 0.00394466 0.013511 0.0092346 0.999858 2083 539 492
1336386228.861373901 0.0389099 0.00256491 -0.0193157 0.00303994 0.0137126 0.00932958 0.999858 2108 526 478
1336386228.960610867 0.0372669 0.00206436 -0.018383 0.00231418 0.014975 0.0099327 0.999836 2056 527 478
1336386229.059847832 0.0375544 0.00602818 -0.0175936 0.00217885 0.0156657 0.0103402 0.999821 2055 571 521
1336386229.159085035 0.0409212 0.00493479 -0.0173836 0.00119125 0.0154355 0.0108223 0.999822 2119 522 487
1336386229.258322001 0.0437494 0.00806185 -0.0170597 0.000976642 0.0150799 0.0113866 0.999821 2107 552 500
1336386229.357558966 0.0434103 0.00790804 -0.0166522 0.000252525 0.0148622 0.0120014 0.999817 2145 545 504
