# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1347016895.332212925 0 0 0 0 0 0 1 3852 841 665
1347016895.432239056 -0.0085524 0.00415879 0.00273407 -0.000970828 0.000452121 1.75831e-05 0.999999 3820 813 644
1347016895.532264948 -0.0136534 0.0282089 0.0050701 0.00486581 0.000270926 -2.59466e-05 0.999988 3754 778 622
1347016895.632290840 -0.0201609 0.0339067 0.0065531 0.00450476 0.000480321 0.000415609 0.99999 3766 828 669
1347016895.732316017 -0.0438763 0.0423109 0.0124275 0.00522648 0.00598459 -0.00077067 0.999968 3771 837 672
1347016895.832341909 -0.0429866 0.0394442 0.0163157 0.00265059 0.00392386 -0.00144943 0.999988 3820 814 624
1347016895.932368040 -0.0536176 0.0503288 0.015761 0.00388539 0.0055941 -0.000416027 0.999977 3779 807 637
1347016896.032392979 -0.0628661 0.0556304 0.0200843 0.0035508 0.00672373 -0.000556454 0.999971 3855 820 671
1347016896.132418871 -0.0729515 0.0648806 0.0244153 0.00469121 0.00817769 -0.000537537 0.999955 3785 825 666
1347016896.232445002 -0.084772 0.0596779 0.0252105 0.00106892 0.0095987 -0.000602402 0.999953 3814 804 637
1347016896.332469940 -0.0743784 0.0761614 0.0332757 0.00497171 0.00461351 -0.0006438 0.999977 3847 815 621
1347016896.432495832 -0.104363 0.0745352 0.034784 0.00257311 0.0114216 -0.00119003 0.999931 3765 787 617
1347016896.532521963 -0.100957 0.0895576 0.0395869 0.00597913 0.00810855 -0.000821188 0.999949 3765 806 653
1347016896.632546902 -0.116063 0.0879948 0.0436098 0.00352868 0.00986024 -0.00142055 0.999944 3742 789 637
1347016896.732573032 -0.119124 0.0993368 0.0485124 0.00546904 0.00790237 -0.00118531 0.999953 3855 838 669
1347016896.832597971 -0.133372 0.114614 0.0513012 0.00860771 0.00922287 -0.00115902 0.99992 3774 832 652
1347016896.932623863 -0.145818 0.108006 0.0586592 0.00466816 0.00951761 -0.00177028 0.999942 3738 793 646
1347016897.032649040 -0.152399 0.119365 0.0632063 0.00668388 0.00781662 -0.00177634 0.999946 3728 800 649
1347016897.132674932 -0.165048 0.121173 0.0667203 0.00530228 0.00760717 -0.00193085 0.999955 3742 816 667
1347016897.232699871 -0.179053 0.128541 0.0722227 0.00585832 0.00787255 -0.0022843 0.999949 3750 777 639
1347016897.332726002 -0.182866 0.141175 0.0764123 0.00801703 0.00497351 -0.00131816 0.999955 3655 786 644
1347016897.432751894 -0.196844 0.145427 0.0812979 0.00753672 0.00489418 -0.00154958 0.999958 3676 793 651
1347016897.532776833 -0.214454 0.146695 0.0881037 0.00604155 0.00591681 -0.00218024 0.999962 3696 811 667
1347016897.632802010 -0.225995 0.154181 0.094202 0.00697393 0.0049233 -0.0028802 0.999959 3675 781 648
1347016897.732826948 -0.240576 0.1558 0.101207 0.00555157 0.00500271 -0.00335087 0.999966 3625 787 651
1347016897.832854986 -0.247969 0.165078 0.105695 0.00670978 0.00283212 -0.00330243 0.999968 3679 780 664
1347016897.932878971 -0.26336 0.164589 0.111365 0.00463345 0.00316313 -0.00384906 0.999977 3648 779 662
1347016898.032902956 -0.270507 0.174371 0.11578 0.0060428 0.00112554 -0.00382425 0.999974 3643 764 644
1347016898.132927895 -0.286641 0.178204 0.122788 0.00556273 0.00188598 -0.00478218 0.999971 3651 777 671
1347016898.232954979 -0.303546 0.179693 0.129272 0.00430229 0.00314605 -0.00546097 0.999971 3611 751 624
1347016898.332979918 -0.308441 0.187506 0.134051 0.00524863 0.00104849 -0.00566821 0.99997 3623 787 676
1347016898.433004856 -0.319006 0.192836 0.139579 0.0055069 0.000987543 -0.0063305 0.999964 3573 813 681
1347016898.533030987 -0.327042 0.195525 0.144543 0.00491967 0.000375347 -0.00676278 0.999965 3545 741 616
1347016898.633056879 -0.337717 0.206479 0.15126 0.00739728 0.00126283 -0.00753418 0.999943 3511 797 662
1347016898.733080864 -0.348683 0.205484 0.157111 0.00545797 0.00226672 -0.00803723 0.99995 3512 771 650
1347016898.833106041 -0.358829 0.211604 0.164972 0.00629873 0.00370104 -0.00904614 0.999932 3556 767 650
1347016898.933131933 -0.366169 0.214566 0.169948 0.0062108 0.00422997 -0.00937779 0.999928 3412 726 621
1347016899.033157825 -0.374544 0.215272 0.174822 0.00544253 0.00543091 -0.0100175 0.99992 3467 764 657
1347016899.133183002 -0.379781 0.219883 0.180588 0.0061177 0.00596488 -0.0102378 0.999911 3519 757 649
