# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1347017824.607758045 0 0 0 0 0 0 1 2775 634 527
1347017832.207406044 -0.00773741 0.0107773 -0.00429221 0.00378212 -0.00039862 -0.00528398 0.999979 2690 604 501
1347017832.307400942 -0.00700079 0.00550746 -0.00284174 0.00224425 -0.000688287 -0.00551286 0.999982 2688 606 515
1347017832.407397032 -0.0122249 -0.000582018 -0.00521343 0.000248718 0.00112678 -0.00566308 0.999983 2671 605 513
1347017832.507391930 0.0016203 0.0119415 -0.000383322 0.00457669 -0.00351345 -0.00528342 0.999969 2713 618 515
1347017832.607386827 -0.012648 0.00555984 -0.00566356 0.00261601 0.00139063 -0.00562948 0.99998 2707 615 523
1347017832.707382917 0.000793302 0.0120825 -0.000112237 0.00493686 -0.00309249 -0.00531509 0.999969 2735 594 504
1347017832.807379007 -0.011238 0.00245097 -0.0058252 0.00200731 0.00120549 -0.00578727 0.999981 2669 609 524
1347017832.907373905 -0.0043626 0.00805006 -0.00148947 0.00390131 -0.00112988 -0.00533706 0.999978 2685 606 505
1347017833.007369041 -0.0125779 -0.00396656 -0.00401473 0.000140686 0.00168479 -0.00568408 0.999982 2657 619 528
1347017833.107364893 -0.0118983 -0.00115959 -0.00547512 0.00126271 0.00165503 -0.005405 0.999983 2730 617 528
1347017833.207360029 -0.00996664 -0.000346309 -0.00462793 0.0016229 0.0010355 -0.00518802 0.999985 2669 598 517
1347017833.307355881 -0.016353 -0.00698172 -0.00374603 -0.000467397 0.00312006 -0.00516432 0.999982 2685 586 494
1347017833.407351017 -0.0120641 0.00396572 -0.00447974 0.00341918 0.00177183 -0.00497747 0.99998 2740 600 518
1347017833.507345915 -0.014198 -0.00105165 -0.000834141 0.00183712 0.00244418 -0.00472008 0.999984 2703 632 522
1347017833.607341051 -0.0140583 -0.00140252 -0.00181718 0.00176281 0.0024459 -0.00465219 0.999985 2710 600 526
1347017833.707336903 -0.00904546 0.0013134 -0.00329127 0.00267593 0.000769384 -0.00424021 0.999987 2671 622 518
1347017833.807332993 -0.0109731 -0.0044801 -0.00189964 0.00101203 0.00131836 -0.00449172 0.999989 2734 589 508
1347017833.907327890 -0.00923127 -0.00297664 -0.00309697 0.00150088 0.000888332 -0.00418299 0.99999 2694 613 529
1347017834.007323027 -0.00133559 0.00579178 0.00192952 0.00445997 -0.00187631 -0.00369885 0.999981 2769 632 530
1347017834.107317924 -0.0123349 -0.00612156 -0.00122735 0.000571293 0.00178361 -0.00393008 0.999991 2709 624 544
1347017834.207312822 -0.00647135 -0.00139879 -0.000860311 0.00227 -0.000252953 -0.00385257 0.99999 2655 582 501
1347017834.307309866 -0.00722849 -0.00338844 0.000445239 0.00153223 -0.000106832 -0.00346488 0.999993 2662 594 506
1347017834.407305002 -0.00851437 -0.00740498 0.000406437 0.000287775 0.000252528 -0.00346728 0.999994 2728 609 522
1347017834.507298946 -0.00920614 -0.00721119 -0.000215484 0.00033658 0.000479511 -0.00346447 0.999994 2673 614 528
1347017834.607295036 -0.0153358 -0.00751738 0.00216841 0.000265942 0.00237649 -0.0035529 0.999991 2726 606 520
