#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy   ts
360.924245119 -1.173545 5.911840 0.206857 -0.092330 0.125465 2.058602 -0.030951 -0.199160 -0.018772 -0.014316 -0.005990 -0.067368 -1.417914 6.820260 1.230007 -0.454826 -0.190962 2.240758 -0.039091 -0.214252 -0.019125 -0.021087 -0.002613 -0.067341 1336387205.252094984 
362.412800074 -0.889050 6.010970 0.212135 -0.125634 0.106740 1.959010 -0.046804 -0.244961 -0.013441 0.006454 -0.005023 -0.061863 -1.134563 6.944110 1.331412 -0.467067 -0.237675 2.149892 -0.034209 -0.243866 -0.010238 0.009348 -0.011871 -0.061032 1336387206.740649939 
363.702881098 -0.575017 6.077112 0.240835 -0.125299 0.089992 1.880329 -0.007586 -0.166968 -0.035216 -0.005368 0.016171 -0.041269 -0.854270 7.039608 1.447236 -0.438490 -0.286286 2.083831 -0.010410 -0.174236 -0.035651 -0.007720 0.017347 -0.040862 1336387208.030730963 
365.489144087 -0.280882 6.154638 0.217015 -0.141501 0.109182 1.803141 -0.067493 -0.026380 -0.016650 0.015501 0.001250 -0.095947 -0.566125 7.157319 1.513437 -0.427719 -0.288259 2.001183 -0.069232 -0.033305 -0.017474 0.012841 0.000623 -0.095679 1336387209.816993952 
369.657096148 -0.099709 5.904197 0.194786 -0.108024 0.050938 1.406126 -0.186005 -0.199118 -0.050463 0.033823 0.013085 -0.288907 -0.309487 6.973445 1.423073 -0.231681 -0.426989 1.601254 -0.181378 -0.204483 -0.054817 0.034121 0.010493 -0.287665 1336387213.984946012 
370.748702049 0.085816 5.666189 0.173835 -0.081562 0.029192 1.090929 -0.046594 0.016942 -0.023955 0.011467 -0.000216 -0.089332 -0.073204 6.803239 1.334718 -0.042107 -0.464818 1.255156 -0.047152 0.004558 -0.023350 0.006708 -0.002929 -0.089745 1336387215.076551914 
376.206734180 -0.105703 5.474757 0.043468 -0.023145 -0.013540 0.605176 -0.085790 0.048450 -0.048057 0.014629 0.003900 -0.138842 -0.145283 6.645306 1.104594 0.234455 -0.441700 0.709299 -0.086670 0.014431 -0.047946 0.001457 -0.002029 -0.139920 1336387220.534584045 
378.985368013 -0.375017 5.448351 -0.096359 0.024301 -0.010419 0.219225 -0.006208 -0.028648 -0.050352 0.011870 0.004726 -0.049544 -0.317034 6.590074 0.892925 0.389834 -0.326695 0.307950 -0.016301 -0.043833 -0.051530 0.005734 0.007145 -0.049721 1336387223.313217878 
384.145689011 -0.372839 5.303890 -0.360024 0.087402 0.020445 -0.035724 0.008380 -0.057957 0.018896 -0.012774 -0.000827 0.009190 -0.258665 6.495136 0.551564 0.482154 -0.187727 0.081514 0.001334 -0.076283 0.020498 -0.019202 0.002329 0.008565 1336387228.473538876 
389.107535124 -0.340424 5.007883 -0.292589 0.024853 0.012355 0.009345 -0.005975 -0.094131 -0.013494 -0.000324 0.006515 -0.010817 -0.205152 6.115718 0.468907 0.378245 -0.197012 0.125375 -0.011075 -0.107268 -0.012103 -0.004571 0.008322 -0.011042 1336387233.435384989 
392.283118010 -0.357233 4.709949 -0.342617 0.023397 0.033885 -0.024493 -0.041590 -0.157944 -0.009099 0.011282 -0.024852 -0.019788 -0.170195 5.815365 0.303636 0.368289 -0.159455 0.102271 -0.049641 -0.167642 -0.005733 0.008573 -0.021945 -0.019460 1336387236.610967875 
394.168620110 -0.443681 4.414656 -0.364065 0.043378 -0.012113 -0.062851 0.036258 -0.104791 -0.002459 -0.005912 0.006114 0.043778 -0.212846 5.518456 0.166463 0.392250 -0.184660 0.052314 0.027573 -0.120023 0.000785 -0.010313 0.009967 0.043835 1336387238.496469975 
396.947254181 -0.361156 4.118282 -0.382295 0.025154 -0.000311 0.059401 -0.020529 -0.201676 0.007778 -0.015873 0.007589 -0.022872 -0.098471 5.215016 0.057193 0.337584 -0.204082 0.178061 -0.030329 -0.222904 0.010457 -0.023150 0.010947 -0.023498 1336387241.275104046 
398.435808182 -0.373828 3.816596 -0.378280 0.001524 0.011838 0.025650 -0.047032 -0.200889 -0.022692 0.022309 -0.005612 -0.032773 -0.066625 4.897402 -0.045191 0.308721 -0.177044 0.150024 -0.063076 -0.236364 -0.016887 0.009179 -0.000732 -0.033625 1336387242.763658047 
399.924362183 -0.436547 3.515907 -0.411683 0.034154 0.003545 -0.023147 0.018625 -0.119198 -0.009223 -0.002702 0.005151 0.038921 -0.086265 4.563144 -0.190534 0.330585 -0.162675 0.101365 0.014777 -0.145841 -0.007206 -0.012089 0.007309 0.037862 1336387244.252212048 
402.405285120 -0.397292 3.220151 -0.444813 0.027635 0.013009 0.073796 -0.000967 -0.151160 0.053399 0.005258 0.007419 0.017503 0.005418 4.234307 -0.317178 0.283550 -0.175227 0.197571 -0.007471 -0.191582 0.053864 -0.010095 0.010614 0.015846 1336387246.733134985 
404.290786982 -0.376695 2.933202 -0.352027 0.037970 0.026072 0.107181 0.038486 -0.236017 0.001992 -0.028131 -0.003734 0.071986 0.066074 3.863789 -0.323132 0.258345 -0.164266 0.232319 0.033554 -0.257566 0.001834 -0.035484 -0.000584 0.072167 1336387248.618636847 
405.580868006 -0.295020 2.635874 -0.362309 0.003928 0.017626 0.199812 -0.016859 -0.232914 0.000697 0.021425 -0.010718 -0.017113 0.194880 3.563519 -0.397546 0.196567 -0.188078 0.323746 -0.040577 -0.269870 -0.006005 0.007368 -0.000781 -0.018615 1336387249.908717871 
406.970184088 -0.253750 2.314071 -0.362199 0.033274 0.002823 0.175981 -0.022503 -0.274774 0.031644 0.014574 0.006631 -0.049286 0.273267 3.203676 -0.488059 0.211603 -0.184029 0.297730 -0.047961 -0.292928 0.028645 0.008687 0.016746 -0.050181 1336387251.298033953 
408.161028147 -0.222586 1.986178 -0.335347 0.050408 0.012662 0.117582 -0.008273 -0.232237 0.025700 -0.030589 -0.019486 0.022901 0.328719 2.856451 -0.537750 0.231711 -0.151715 0.242883 -0.012872 -0.253923 0.028762 -0.037905 -0.017493 0.023199 1336387252.488878012 
409.450983047 -0.197661 1.686165 -0.317198 0.011304 -0.013935 0.145812 0.064028 -0.197719 0.013561 -0.007261 0.009019 0.073241 0.397245 2.536218 -0.578919 0.179130 -0.180505 0.267213 0.043531 -0.212781 0.012955 -0.011228 0.018116 0.071542 1336387253.778832912 
410.939537048 -0.060812 1.408578 -0.299014 -0.001089 -0.001658 0.254972 0.008376 -0.063072 -0.001874 0.003931 0.004835 -0.018215 0.548416 2.250904 -0.604136 0.141468 -0.171812 0.378434 -0.000820 -0.084692 0.001587 -0.004403 0.007556 -0.018949 1336387255.267386913 
415.802147150 0.055972 1.122063 -0.307727 0.018175 0.021762 0.166376 -0.002987 -0.081348 0.045340 -0.005419 -0.002165 -0.024346 0.703814 1.872766 -0.654499 0.134432 -0.121823 0.291832 -0.013788 -0.103508 0.047004 -0.014433 0.001792 -0.025324 1336387260.129997015 
419.076966047 0.093969 0.855623 -0.163934 -0.001364 0.016052 0.086522 -0.049741 -0.190800 -0.052877 0.019216 -0.033436 -0.028211 0.751006 1.514659 -0.553670 0.096658 -0.104500 0.209993 -0.049550 -0.206268 -0.053907 0.013954 -0.034100 -0.027346 1336387263.404815912 
420.565520048 0.043514 0.566057 -0.241058 0.026566 -0.033790 0.044625 0.020394 -0.015309 0.018148 -0.003438 0.001039 0.018548 0.752523 1.210429 -0.670267 0.122245 -0.150988 0.164105 0.016224 -0.025974 0.018957 -0.007597 0.003814 0.018356 1336387264.893369913 
430.389976978 0.244600 0.419800 -0.060157 -0.013777 -0.027836 0.227117 -0.002398 0.000448 0.104682 -0.001888 0.001780 -0.000873 0.930256 0.960111 -0.494304 0.017938 -0.133111 0.349251 -0.006073 -0.008391 0.107080 -0.006343 0.003557 -0.001517 1336387274.717826843 
